CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,6,-,-,-,-,-,600,"2,912.75","2,958.50",600,"12,800.00",-,-,0.05,"42,825",-0.10,0.05,113.29,"4,258",-373,"3,938",
,1,-,-,-,-,-,"1,500","2,814.50","3,018.20","1,500","12,850.00",-,-,0.10,"7,425",-0.05,0.10,116.82,183,61,354,
,-,-,-,-,-,-,"1,500","2,757.85","2,858.45",975,"12,900.00",-,-,0.05,"5,475",-0.15,0.05,109.28,"2,253",458,"1,435",
,-,-,-,-,-,-,"1,500","2,680.60","2,903.70","1,500","12,950.00",-,-,0.20,"3,000",-0.05,0.25,120.95,65,-14,48,
,54,-13,66,-,"2,735.00",89.10,525,"2,706.70","2,758.45",975,"13,000.00",-,-,0.05,"32,400",-0.15,0.05,105.31,"4,621",-504,"3,800",
,-,-,-,-,-,-,"1,500","2,618.50","2,760.25","1,500","13,050.00",-,-,0.20,"3,000",-0.15,0.05,103.33,647,9,78,
,-,-,-,-,-,-,"1,500","2,569.45","2,708.30","1,500","13,100.00",-,-,0.05,"6,075",-0.15,0.05,101.35,"1,853",-,890,
,-,-,-,-,-,-,"1,500","2,520.50","2,649.95","1,500","13,150.00",-,-,0.25,"5,400",-0.10,0.05,99.39,43,-2,40,
,-,-,-,-,-,-,"1,500","2,471.50","2,599.75","1,500","13,200.00",-,-,0.05,"17,775",-0.40,0.05,97.42,"3,257",494,798,
,-,-,-,-,-,-,"1,500","2,386.55","2,592.55","1,500","13,250.00",-,-,0.25,"3,225",-0.15,0.15,103.44,"3,485",10,13,
,-,-,-,-,-,-,"1,500","2,337.50","2,495.25","1,500","13,300.00",-,-,0.05,"1,200",-0.45,0.05,93.51,925,-86,320,
,-,-,-,-,-,-,"1,500","2,324.55","2,455.80","1,500","13,350.00",-,-,0.30,"3,000",-0.30,0.10,96.22,"2,594",5,59,
,-,-,-,-,-,-,"1,500","2,239.55","2,414.35","1,500","13,400.00",-,-,0.15,"3,600",-0.35,0.05,89.62,"1,065",-95,411,
,-,-,-,-,-,-,"1,500","2,190.60","2,363.70","1,500","13,450.00",-,-,0.05,75,-,-,-,-,-,28,
,24,-21,38,-,"2,197.00",51.10,525,"2,207.10","2,258.45",975,"13,500.00",-,-,0.10,"1,350",-0.35,0.15,93.01,"4,580",-650,"2,607",
,-,-,-,-,-,-,"1,500","2,092.35","2,261.40","1,500","13,550.00",-,-,0.25,"3,300",-0.35,0.25,94.83,26,1,112,
,1,-,-,-,-,-,"1,500","2,015.15","2,158.45",975,"13,600.00",-,-,0.10,"2,400",-0.55,0.05,81.90,"1,273",-43,279,
,-,-,-,-,-,-,"1,500","2,030.55","2,159.55","1,500","13,650.00",-,-,0.30,"3,000",-0.30,0.05,79.98,77,-,25,
,1,-,-,-,-,-,"1,500","1,920.15","2,058.45",975,"13,700.00",-,-,0.15,"3,600",-0.50,0.05,78.07,"1,113",-83,449,
,-,-,-,-,-,-,"1,500","1,932.45","2,047.95","1,500","13,750.00",-,-,0.30,"3,000",-0.20,0.10,80.12,46,41,44,
,1,-,-,-,-,-,"1,500","1,825.20","1,958.45",975,"13,800.00",-,-,0.10,"2,400",-0.55,0.05,74.25,"1,965",-100,816,
,-,-,-,-,-,-,"1,500","1,834.55","1,945.95","1,500","13,850.00",-,-,0.30,"3,000",-0.25,0.15,78.61,6,1,14,
,1,-,-,-,-,-,"1,500","1,730.15","1,858.45",975,"13,900.00",-,-,0.10,"2,625",-0.35,0.05,70.45,"1,747",-125,"1,384",
,-,-,-,-,-,-,"1,500","1,736.55","1,845.15","1,500","13,950.00",-,-,0.05,375,-0.30,0.05,68.56,99,-35,15,
,9,-2,6,-,"1,721.40",69.05,525,"1,710.10","1,758.45",975,"14,000.00",-,-,0.05,"5,775",-0.45,0.05,66.67,"14,973","-1,935","7,852",
,-,-,-,-,-,-,"1,500","1,629.55","1,753.55","1,500","14,050.00",-,-,0.30,"3,075",-0.75,0.05,64.78,86,-58,17,
,2,-,-,-,-,-,"1,500","1,577.80","1,658.45",975,"14,100.00","3,450",0.05,0.10,"5,175",-0.55,0.10,66.25,"2,078",-103,958,
,-,-,-,-,-,-,"1,500","1,513.10","1,651.30","1,500","14,150.00",-,-,0.25,"2,400",-0.35,0.05,61.02,29,-5,39,
,6,-,6,-,"1,539.00",9.00,"1,500","1,483.60","1,558.45",975,"14,200.00",-,-,0.05,"4,875",-0.45,0.05,59.15,"2,577",-183,"1,554",
,-,-,-,-,-,-,"1,500","1,409.45","1,540.00",750,"14,250.00",-,-,0.30,"8,625",-0.30,0.10,60.36,137,-16,169,
